"ID_rater"	"ID_child"	"age_group"	"accent_response"	"accent_numeric"	"rating_language"	"age_months"	"family"
"299"	"R9"	"105BER"	"preschool"	"s"	2	"RU"	54	"bil-rus"
"300"	"R9"	"012IV"	"preschool"	"s"	2	"RU"	48	"mono-rus"
"301"	"R9"	"129BER"	"preschool"	"w"	1	"RU"	52	"bil-rus"
"302"	"R9"	"017SIN"	"preschool"	"no"	0	"RU"	79	"bil-rus"
"303"	"R9"	"007IV"	"preschool"	"no"	0	"RU"	61	"mono-rus"
"304"	"R9"	"002SIN"	"preschool"	"no"	0	"RU"	64	"bil-rus"
"305"	"R9"	"003SIN"	"preschool"	"no"	0	"RU"	61	"bil-mixed"
"306"	"R9"	"011IV"	"preschool"	"no"	0	"RU"	65	"mono-rus"
"307"	"R9"	"005SIN"	"preschool"	"no"	0	"RU"	60	"bil-rus"
"308"	"R9"	"014SIN"	"preschool"	"no"	0	"RU"	61	"bil-mixed"
"309"	"R9"	"013IV"	"preschool"	"w"	1	"RU"	56	"mono-rus"
"310"	"R9"	"012SIN"	"preschool"	"no"	0	"RU"	76	"bil-rus"
"311"	"R9"	"015SIN"	"preschool"	"w"	1	"RU"	72	"bil-rus"
"312"	"R9"	"008IV"	"preschool"	"no"	0	"RU"	60	"mono-rus"
"313"	"R9"	"041SIN"	"preschool"	"w"	1	"RU"	76	"bil-mixed"
"314"	"R9"	"101BER"	"preschool"	"no"	0	"RU"	59	"bil-rus"
"315"	"R9"	"009IV"	"preschool"	"no"	0	"RU"	48	"mono-rus"
"316"	"R9"	"102BER"	"preschool"	"w"	1	"RU"	58	"bil-rus"
"317"	"R9"	"042SIN"	"school"	"w"	1	"RU"	85	"bil-rus"
"318"	"R9"	"003IV"	"school"	"no"	0	"RU"	101	"mono-rus"
"319"	"R9"	"008SIN"	"school"	"w"	1	"RU"	100	"bil-rus"
"320"	"R9"	"044SIN"	"school"	"w"	1	"RU"	87	"bil-rus"
"321"	"R9"	"002IV"	"school"	"no"	0	"RU"	91	"mono-rus"
"322"	"R9"	"031SIN"	"school"	"no"	0	"RU"	94	"bil-rus"
"323"	"R9"	"013SIN"	"school"	"no"	0	"RU"	86	"bil-rus"
